Date,2Y,10Y
26/02/2025,4.17,4.5
25/02/2025,4.17,4.51
24/02/2025,4.17,4.56
21/02/2025,4.22,4.57
20/02/2025,4.23,4.61
19/02/2025,4.27,4.61
18/02/2025,4.27,4.56
17/02/2025,4.23,4.53
14/02/2025,4.2,4.5
13/02/2025,4.2,4.49
12/02/2025,4.18,4.54
11/02/2025,4.2,4.51
10/02/2025,4.15,4.46
07/02/2025,4.13,4.48
06/02/2025,4.17,4.48
05/02/2025,4.16,4.44
04/02/2025,4.14,4.52
03/02/2025,4.17,4.49
31/01/2025,4.16,4.53
30/01/2025,4.21,4.56
29/01/2025,4.25,4.61
28/01/2025,4.32,4.61
27/01/2025,4.31,4.59
24/01/2025,4.28,4.63
23/01/2025,4.32,4.64
22/01/2025,4.33,4.63
21/01/2025,4.35,4.59
20/01/2025,4.33,4.66
17/01/2025,4.36,4.66
16/01/2025,4.36,4.68
15/01/2025,4.38,4.73
14/01/2025,4.45,4.88
13/01/2025,4.59,4.89
10/01/2025,4.59,4.84
09/01/2025,4.53,4.81
08/01/2025,4.51,4.8
07/01/2025,4.51,4.68
06/01/2025,4.46,4.61
03/01/2025,4.43,4.59
02/01/2025,4.4,4.59
